,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
25,56,local-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
26,19,private,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
28,39,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,80,united-states,<=50k
29,49,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
30,23,local-gov,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,<=50k
31,20,private,some-college,10,never-married,sales,own-child,black,male,0,0,44,united-states,<=50k
32,45,private,bachelors,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,<=50k
33,30,federal-gov,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
34,22,state-gov,some-college,10,married-civ-spouse,other-service,husband,black,male,0,0,15,united-states,<=50k
35,48,private,11th,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,<=50k
36,21,private,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50k
37,19,private,hs-grad,9,married-af-spouse,adm-clerical,wife,white,female,0,0,25,united-states,<=50k
39,48,self-emp-not-inc,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
40,31,private,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,<=50k
41,53,self-emp-not-inc,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
42,24,private,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,<=50k
43,49,private,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k
44,25,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,<=50k
45,57,federal-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50k
46,53,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,<=50k
47,44,private,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k
48,41,state-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
49,29,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50k
50,25,private,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,<=50k
52,47,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,1902,60,honduras,>50k
53,50,federal-gov,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,55,united-states,>50k
54,47,self-emp-inc,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50k
55,43,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
56,46,private,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50k
57,35,private,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,<=50k
58,41,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,<=50k
59,30,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,<=50k
60,30,private,bachelors,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,<=50k
62,48,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k
63,42,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50k
64,29,private,some-college,10,divorced,tech-support,not-in-family,white,male,0,0,58,united-states,<=50k
65,36,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
66,28,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
67,53,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50k
68,49,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
70,19,private,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,32,united-states,<=50k
71,31,private,bachelors,13,separated,sales,own-child,black,female,0,0,40,united-states,<=50k
72,29,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,70,united-states,>50k
73,23,private,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
74,79,private,some-college,10,married-civ-spouse,prof-specialty,other-relative,white,male,0,0,20,united-states,<=50k
75,27,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,mexico,<=50k
76,40,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
78,18,private,11th,7,never-married,other-service,own-child,white,female,0,0,22,united-states,<=50k
79,31,local-gov,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
80,18,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,<=50k
81,52,private,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,<=50k
82,46,private,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50k
83,59,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50k
84,44,private,hs-grad,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,>50k
85,53,private,hs-grad,9,divorced,sales,own-child,white,female,0,0,35,united-states,<=50k
86,49,local-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
87,33,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k
88,30,private,9th,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
89,43,federal-gov,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50k
90,57,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
91,37,private,some-college,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,<=50k
92,28,private,some-college,10,divorced,machine-op-inspct,unmarried,black,female,0,0,25,united-states,<=50k
94,34,local-gov,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
95,29,local-gov,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,<=50k
96,48,self-emp-not-inc,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,60,united-states,>50k
97,37,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,>50k
98,48,private,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,<=50k
99,32,federal-gov,hs-grad,9,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k
100,76,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
101,44,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50k
102,47,self-emp-not-inc,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50k
103,20,private,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k
104,29,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
105,32,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50k
107,30,private,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
108,31,local-gov,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
109,42,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
110,24,private,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50k
111,38,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
112,56,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,>50k
113,28,private,some-college,10,married-civ-spouse,sales,wife,white,female,4064,0,25,united-states,<=50k
114,36,private,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50k
115,53,private,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,<=50k
116,56,self-emp-inc,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
117,49,local-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,>50k
118,55,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,56,united-states,<=50k
119,22,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50k
120,21,private,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
121,40,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
122,30,private,bachelors,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,<=50k
123,29,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50k
124,19,private,some-college,10,never-married,other-service,own-child,black,male,0,0,35,united-states,<=50k
125,47,private,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50k
126,20,private,some-college,10,never-married,adm-clerical,own-child,white,female,0,1719,28,united-states,<=50k
127,31,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
129,39,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
130,28,private,assoc-acdm,12,never-married,sales,not-in-family,white,female,0,0,60,united-states,<=50k
131,24,private,hs-grad,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,<=50k
132,38,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,<=50k
133,37,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
134,46,private,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,<=50k
135,38,federal-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,>50k
136,43,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,<=50k
137,27,private,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50k
138,20,private,some-college,10,never-married,sales,own-child,white,male,0,0,20,united-states,<=50k
139,49,private,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50k
140,61,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
141,27,private,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
142,19,private,some-college,10,never-married,other-service,own-child,white,male,0,0,30,mexico,<=50k
143,45,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50k
144,70,private,some-college,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,<=50k
145,31,private,hs-grad,9,never-married,transport-moving,unmarried,black,female,0,0,30,united-states,<=50k
146,22,private,some-college,10,married-civ-spouse,other-service,husband,white,male,0,0,24,united-states,<=50k
147,36,private,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,24,united-states,<=50k
148,64,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k
150,47,local-gov,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,<=50k
151,34,private,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
152,33,private,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50k
153,21,private,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50k
155,48,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50k
156,23,private,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
157,71,self-emp-not-inc,some-college,10,separated,sales,unmarried,black,male,0,1816,2,united-states,<=50k
158,29,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50k
159,42,private,bachelors,13,separated,other-service,other-relative,black,male,0,0,50,united-states,<=50k
161,25,private,hs-grad,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,<=50k
162,44,self-emp-inc,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50k
163,28,private,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,<=50k
164,45,self-emp-not-inc,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k
165,36,private,some-college,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,<=50k
166,39,federal-gov,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,<=50k
167,46,state-gov,masters,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,<=50k
168,18,private,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,16,united-states,<=50k
169,66,local-gov,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50k
170,27,private,hs-grad,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,<=50k
171,28,state-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k
172,51,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,>50k
173,27,private,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50k
174,28,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
175,27,private,hs-grad,9,married-spouse-absent,sales,unmarried,white,female,0,0,25,united-states,<=50k
176,21,private,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50k
177,34,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,<=50k
178,18,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50k
179,33,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,65,united-states,<=50k
180,44,local-gov,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,>50k
181,43,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
182,30,private,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50k
183,40,private,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,>50k
184,37,federal-gov,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,>50k
185,34,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
186,41,self-emp-not-inc,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
188,31,private,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,<=50k
189,58,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,united-states,>50k
190,38,private,some-college,10,divorced,machine-op-inspct,not-in-family,black,female,0,0,28,united-states,<=50k
191,24,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
192,41,local-gov,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50k
193,47,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,<=50k
194,41,federal-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,24,united-states,<=50k
195,23,private,5th-6th,3,married-civ-spouse,transport-moving,other-relative,white,male,0,0,40,mexico,<=50k
196,36,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
197,40,federal-gov,masters,14,never-married,exec-managerial,not-in-family,white,female,14084,0,55,united-states,>50k
198,35,private,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50k
199,24,self-emp-not-inc,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
200,26,private,masters,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50k
202,51,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
203,42,local-gov,some-college,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50k
204,37,state-gov,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50k
205,18,private,11th,7,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
206,36,private,bachelors,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,>50k
207,35,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50k
208,58,self-emp-inc,hs-grad,9,married-civ-spouse,sales,wife,white,female,15024,0,35,united-states,>50k
209,17,private,11th,7,never-married,sales,own-child,white,female,0,0,12,united-states,<=50k
210,44,local-gov,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,0,0,40,united-states,<=50k
211,37,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
212,35,private,some-college,10,never-married,sales,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,<=50k
213,60,private,hs-grad,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,<=50k
214,54,self-emp-inc,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,>50k
215,37,private,bachelors,13,never-married,exec-managerial,not-in-family,black,male,0,0,60,united-states,>50k
216,50,private,assoc-acdm,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50k
217,38,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,poland,<=50k
218,45,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,<=50k
219,25,private,10th,6,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
220,31,private,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
222,90,private,hs-grad,9,never-married,other-service,not-in-family,black,male,0,2206,40,united-states,<=50k
223,54,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,20,united-states,<=50k
224,53,local-gov,preschool,1,never-married,machine-op-inspct,not-in-family,white,female,0,0,35,united-states,<=50k
225,18,private,hs-grad,9,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
227,66,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,1409,0,50,united-states,<=50k
228,75,private,assoc-voc,11,widowed,adm-clerical,not-in-family,white,female,0,0,20,columbia,<=50k
229,65,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
230,35,private,11th,7,separated,transport-moving,not-in-family,black,male,3674,0,40,united-states,<=50k
231,41,private,hs-grad,9,divorced,sales,unmarried,black,female,0,0,38,united-states,<=50k
232,25,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,42,united-states,<=50k
233,33,private,some-college,10,divorced,craft-repair,other-relative,other,female,0,0,40,united-states,<=50k
234,28,private,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,0,55,united-states,>50k
235,59,state-gov,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
236,40,state-gov,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50k
237,41,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,iran,>50k
238,38,local-gov,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,70,united-states,>50k
239,23,private,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50k
240,40,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
241,41,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,20,united-states,<=50k
242,24,state-gov,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,0,0,50,united-states,<=50k
244,38,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,1741,40,united-states,<=50k
246,58,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,>50k
247,32,private,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,34,united-states,<=50k
248,40,private,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,0,1977,60,united-states,>50k
250,41,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,>50k
251,42,private,bachelors,13,married-civ-spouse,adm-clerical,wife,black,female,0,0,40,united-states,<=50k
252,59,local-gov,10th,6,widowed,other-service,unmarried,black,female,0,0,30,united-states,<=50k
253,19,local-gov,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
254,58,private,some-college,10,never-married,transport-moving,not-in-family,white,male,0,0,20,united-states,<=50k
255,42,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,0,40,cambodia,>50k
256,20,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
257,32,private,hs-grad,9,separated,other-service,not-in-family,white,female,0,0,30,united-states,<=50k
258,45,private,assoc-voc,11,widowed,exec-managerial,not-in-family,white,female,0,0,45,united-states,<=50k
259,50,private,7th-8th,4,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
260,36,private,bachelors,13,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50k
261,45,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,<=50k
262,17,private,11th,7,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50k
263,59,private,some-college,10,married-civ-spouse,sales,husband,white,male,4064,0,40,united-states,<=50k
264,26,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
265,37,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,0,0,75,thailand,>50k
267,64,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
268,33,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50k
269,33,private,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,>50k
270,61,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
271,17,private,9th,5,never-married,other-service,own-child,white,male,1055,0,24,united-states,<=50k
272,50,self-emp-not-inc,masters,14,married-civ-spouse,farming-fishing,husband,white,male,2407,0,98,united-states,<=50k
273,27,local-gov,masters,14,never-married,prof-specialty,own-child,white,male,0,0,35,united-states,<=50k
274,30,private,hs-grad,9,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50k
275,43,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
276,44,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,>50k
277,35,private,some-college,10,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
278,25,private,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k
279,24,private,some-college,10,married-civ-spouse,machine-op-inspct,wife,white,female,7298,0,48,united-states,>50k
280,22,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,15,germany,<=50k
281,42,local-gov,some-college,10,married-civ-spouse,craft-repair,husband,white,male,5178,0,40,united-states,>50k
282,34,private,assoc-acdm,12,divorced,sales,unmarried,black,female,0,0,45,united-states,<=50k
283,60,private,bachelors,13,divorced,prof-specialty,not-in-family,white,female,0,0,42,united-states,<=50k
284,21,private,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
285,57,federal-gov,masters,14,married-civ-spouse,sales,husband,white,male,15024,0,40,united-states,>50k
286,41,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k
287,50,private,some-college,10,divorced,other-service,not-in-family,white,male,0,0,45,united-states,<=50k
288,25,private,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
289,50,private,7th-8th,4,married-civ-spouse,craft-repair,husband,white,male,0,0,40,ecuador,<=50k
290,36,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,<=50k
291,31,private,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
292,29,local-gov,bachelors,13,never-married,protective-serv,not-in-family,white,male,0,0,56,united-states,<=50k
293,21,private,some-college,10,never-married,sales,own-child,white,male,0,0,45,united-states,<=50k
294,27,private,bachelors,13,never-married,tech-support,unmarried,black,female,0,0,40,united-states,<=50k
295,65,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,16,united-states,<=50k
296,37,self-emp-inc,bachelors,13,divorced,sales,not-in-family,white,female,0,0,60,united-states,<=50k
